,name,birth_year,weight,height,nationality,cyclist_id
302,Tobias  Foss,1997.0,74.0,184.0,Norway,tobias-foss
303,Noël  Vantyghem,1947.0,,,Belgium,noel-vantyghem
304,Tomáš  Konečný,1973.0,67.0,178.0,Czech Republic,tomas-konecny
305,Daniel  Summerhill,1989.0,70.0,185.0,United States,daniel-summerhill
306,Christian  Dumont,1956.0,,,Belgium,christian-dumont
307,Ettore  Badolato,1964.0,,,Italy,ettore-badolato
308,Daniel  Beelen,1966.0,,,Belgium,daniel-beelen
309,Nicolas  Vogondy,1977.0,62.0,172.0,France,nicolas-vogondy
310,David  Gutiérrez Palacios,1987.0,,,Spain,david-gutierrez-palacios
311,Ben  Zwiehoff,1994.0,61.0,182.0,Germany,ben-zwiehoff
312,Bert  Pronk,1950.0,,,Netherlands,bert-pronk
313,Wilfried  Wesemael,1950.0,,,Belgium,wilfried-wesemael
314,Ludo  Frijns,1957.0,,,Belgium,ludo-frijns
315,Oleg  Iarochenko,1962.0,,,Russia,oleg-iarochenko
316,Andrei  Vedernikov,1959.0,,,Russia,andrei-vedernikov
317,Juan  Martínez,1964.0,,,Spain,juan-martinez-oliver
318,Thomas  Pidcock,1999.0,58.0,170.0,Great Britain,thomas-pidcock
319,Gerhard  Trampusch,1978.0,60.0,173.0,Austria,gerhard-trampusch
320,Alessandro  Proni,1982.0,68.0,183.0,Italy,alessandro-proni
321,Javier  Aramendia,1986.0,72.0,187.0,Spain,javier-aramendia
322,Maryan  Hary,1980.0,68.0,185.0,France,maryan-hary
323,Jose Francisco  Jarque,1971.0,,,Spain,jose-francisco
324,Alessandro  Spezialetti,1975.0,67.0,179.0,Italy,alessandro-spezialetti
325,Ludovic  Robeet,1994.0,75.0,194.0,Belgium,ludovic-robeet
326,Christian  Poos,1977.0,,,Luxembourg,christian-poos
327,Timofey  Kritskiy,1987.0,81.0,190.0,Russia,timofey-kritskiy
328,John  Baldi,1966.0,,,Italy,john-baldi
329,Ad  Wijnands,1959.0,,,Netherlands,ad-wijnands
330,Yvan  Haymoz,1975.0,,,Switzerland,yvan-haymoz
331,Antoine  Demoitié,1990.0,69.0,180.0,Belgium,antoine-demoitie
332,Franco  Vona,1964.0,,,Italy,franco-vona
333,Pieter  Mertens,1980.0,67.0,181.0,Belgium,pieter-mertens
334,Asier  Guenetxea,1970.0,,,Spain,asier-guenetxea
335,Milan  Menten,1996.0,68.0,174.0,Belgium,milan-menten
336,Laurence  Pithie,2002.0,74.0,185.0,New Zealand,laurence-pithie
337,Eric De Clercq,1967.0,,,Belgium,eric-de-clercq
338,Mart  Ojavee,1981.0,80.0,183.0,Estonia,mart-ojavee
339,Giovanni Paolo  Bottoia,1962.0,,,Italy,giovanni-paolo-bottoia
340,Thomas  Durst,1967.0,,,Germany,thomas-durst
341,René  Koppert,1960.0,,,Netherlands,rene-koppert
342,Baden  Cooke,1978.0,75.0,180.0,Australia,baden-cooke
343,José Luis  Navarro,1962.0,,,Spain,jose-luis-navarro
344,Maxim  Belkov,1985.0,71.0,184.0,Russia,maxim-belkov
345,Pedro  Jiménez,1974.0,,,Spain,pedro-jimenez-villanueva
346,Ángel  Gómez,1981.0,68.0,183.0,Spain,angel-gomez-gomez
347,Andrea  Peron,1971.0,70.0,183.0,Italy,andrea-peron-1
348,Jonas  Rickaert,1994.0,88.0,187.0,Belgium,jonas-rickaert
349,Eric  Baumann,1980.0,72.0,177.0,Germany,eric-baumann
350,Kevin  Geniets,1997.0,73.0,193.0,Luxembourg,kevin-geniets
351,Juan Carlos  Martin,1967.0,,,Spain,juan-carlos-martin
352,Eddy  Beugels,1944.0,,,Netherlands,eddy-beugels
353,Jacques van Meer,1958.0,,,Netherlands,jacques-van-meer
354,Matthew  Stephens,1970.0,64.0,182.0,Great Britain,matthew-stephens
355,Loe van Belle,2002.0,,184.0,Netherlands,loe-van-belle
356,Leonardo  Scarselli,1975.0,67.0,180.0,Italy,leonardo-scarselli
357,Maxime  Méderel,1980.0,59.0,173.0,France,maxime-mederel
358,Lukas  Rüegg,1996.0,66.0,177.0,Switzerland,lukas-ruegg
359,Javier  Etxarri,1986.0,,,Spain,javier-etxarri-marin
360,Serge  Vandaele,1952.0,,,Belgium,serge-vandaele
361,Jasper De Buyst,1993.0,72.0,179.0,Belgium,jasper-de-buyst
362,Régis  Ovion,1949.0,64.0,177.0,France,regis-ovion
363,Ethan  Hayter,1998.0,69.0,180.0,Great Britain,ethan-hayter
364,Sander  Armée,1985.0,72.0,190.0,Belgium,sander-armee
365,James  Whelan,1996.0,64.0,185.0,Australia,james-whelan
366,Stefan Van Leeuwe,1963.0,,,Belgium,stefan-van-leeuwe
367,Angelo  Pagani,1988.0,68.0,176.0,Italy,angelo-pagani
368,Marco António  Chagas,1956.0,,,Portugal,marco-chagas
369,Luis  Casas,1953.0,,,Spain,luis-casas
370,Fernando  Serrano,1979.0,,,Spain,fernando-serrano-sanchez
371,Lars  Wahlqvist,1964.0,,,Sweden,lars-wahlqvist
372,Nathan  Earle,1988.0,70.0,180.0,Australia,nathan-earle
373,Claudio  Bartoli,1979.0,,,Italy,claudio-bartoli
374,Gianluigi  Barsotelli,1965.0,,,Italy,gianluigi-barsotelli
375,Bruno  Zanoni,1952.0,,,Italy,bruno-zanoni
376,Tom  Stamsnijder,1985.0,76.0,191.0,Netherlands,tom-stamsnijder
377,Victor Hugo  Peña,1974.0,65.0,178.0,Colombia,victor-hugo-pena
378,Jaime Alberto  Castañeda,1986.0,,,Colombia,jaime-alberto-castaneda
379,Héctor  Guerra,1978.0,,,Spain,hector-guerra-garcia
380,Mario  Beccia,1955.0,,,Italy,mario-beccia
381,Ján  Valach,1973.0,75.0,194.0,Slovakia,jan-valach
382,Adam  Roberge,1997.0,72.0,194.0,Canada,adam-roberge
383,Humberto  Contreras,1972.0,,,Colombia,humberto-contreras
384,Asiat  Saitov,1965.0,,,Russia,asiat-saitov
385,Antonio  Angulo,1992.0,67.0,175.0,Spain,antonio-angulo
386,Justin  Jules,1986.0,64.0,167.0,France,justin-jules
387,Jan  Polanc,1992.0,62.0,172.0,Slovenia,jan-polanc
388,Ciarán  Power,1976.0,68.0,184.0,Ireland,ciaran-power
389,Jenthe  Biermans,1995.0,78.0,184.0,Belgium,jenthe-biermans
390,Viktor  Rjaksinski,1967.0,,,Ukraine,viktor-rjaksinski
